program,grade
MSAFA,15.32
MSAFA,23.51
MSAFA,32.42
MSAFA,34.52
MSAFA,37.11
MSAFA,41.60
MSAFA,42.60
MSAFA,46.60
MSAFA,47.20
MSAFA,47.53
MSAFA,47.77
MSAFA,50.98
MSAFA,51.00
MSAFA,52.56
MSAFA,52.84
MSAFA,55.77
MSAFA,57.18
MSAFA,60.54
MSAFA,63.64
MSAFA,65.06
MSAFA,66.38
MSAFA,69.20
MSAFA,69.25
MSAFA,71.05
MSAFA,72.07
MSAFA,72.98
MSAFA,73.03
MSAFA,76.15
MSAFA,77.03
MSAFA,77.15
MSAFA,78.71
MSAFA,81.16
MSAFA,81.54
MSAFA,82.67
MSAFA,86.18
MSAFA,88.41
MSAFA,90.67
MSAFA,91.92
MSAFA,92.54
MSAFA,95.12
MSAFA,95.97
MSAFA,99.07
MSAFA,101.17
MSAFA,102.26
MSAFA,102.30
MSAFA,105.84
MSAFA,106.23
MSAFA,108.05
MSAFA,108.31
MSAFA,109.20
MSAFA,109.47
MSAFA,109.67
MSAFA,111.96
MSAFA,120.97
MSAFA,124.82
MSAFA,132.44
MSAFA,133.05
MSAFA,139.93
MSFE,37.11
MSFE,39.42
MSFE,44.33
MSFE,49.89
MSFE,53.26
MSFE,54.57
MSFE,60.50
MSFE,60.93
MSFE,61.23
MSFE,63.53
MSFE,68.02
MSFE,72.09
MSFE,76.10
MSFE,78.18
MSFE,80.20
MSFE,80.77
MSFE,82.15
MSFE,82.73
MSFE,84.11
MSFE,84.37
MSFE,84.47
MSFE,84.84
MSFE,90.23
MSFE,90.75
MSFE,92.57
MSFE,93.62
MSFE,94.61
MSFE,94.65
MSFE,98.57
MSFE,100.99
MSFE,102.04
MSFE,103.95
MSFE,104.93
MSFE,105.98
MSFE,106.29
MSFE,109.39
MSFE,116.25
MSFE,116.90
MSFE,118.80
MSFE,121.43
MSFE,121.53
MSFE,122.93
MSFE,125.64
MSFE,125.85
MSFE,127.07
MSFE,128.87
MSFE,129.07
MSFE,130.75
MSFE,133.35
MSFE,137.57
MSFE,138.03
MSFE,139.70